CARRIER|ORIGIN|REGION,Sum,Count,Mean
FX|RIC|D,18146.000000,28,648.071429
FX|BNA|D,12866.000000,52,247.423077
5X|SAT|D,69380.000000,111,625.045045
FX|GSP|D,12989.000000,38,341.815789
FX|PVD|D,19433.000000,49,396.591837
FX|ALB|D,14489.000000,19,762.578947
FX|BUF|D,19319.000000,35,551.971429
FX|BIL|D,31988.000000,43,743.906977
FX|PHL|D,47940.000000,68,705.000000
FX|PHX|D,98278.000000,126,779.984127
FX|BFM|D,14626.000000,43,340.139535
FX|SLC|D,112503.000000,178,632.039326
FX|CLE|D,19972.000000,62,322.129032
FX|BOI|D,41896.000000,65,644.553846
FX|RNO|D,53654.000000,71,755.690141
FX|FAT|D,11855.000000,39,303.974359
FX|HTS|D,11202.000000,41,273.219512
5X|VCP|L,4024.000000,1,4024.000000
5X|PHL|D,215819.000000,397,543.624685
YX|ELP|D,2472.000000,2,1236.000000
AA|TVC|D,7154.000000,7,1022.000000
AA|AZA|D,22.000000,1,22.000000
B6|DUB|A,49384.000000,16,3086.500000
B6|GND|L,93220.000000,44,2118.636364
AA|LIH|D,67332.000000,26,2589.692308
B6|LAX|L,62589.000000,36,1738.583333
AA|TPA|L,550.000000,1,550.000000
AA|PIT|L,8376.000000,6,1396.000000
F9|LIR|L,3174.000000,2,1587.000000
5X|PVD|D,13784.000000,28,492.285714
5X|ALB|D,19167.000000,53,361.641509
5X|SAN|D,27552.000000,18,1530.666667
AA|AVP|D,12329.000000,25,493.160000
MQ|YYC|D,2770.000000,2,1385.000000
5X|MSP|D,75095.000000,128,586.679688
5X|BUR|D,43999.000000,26,1692.269231
5X|MIA|L,208248.000000,149,1397.637584
OO|YOW|D,1965.000000,3,655.000000
5X|SYR|D,33358.000000,81,411.827160
5X|GEG|D,92183.000000,84,1097.416667
F9|PSP|D,3170.000000,5,634.000000
5X|YYC|D,44360.000000,37,1198.918919
5X|FAR|D,50413.000000,72,700.180556
SY|YVR|D,11488.000000,8,1436.000000
SY|YYZ|D,4068.000000,6,678.000000
XP|DBQ|D,6866.000000,6,1144.333333
XP|MFR|D,8610.000000,14,615.000000
XP|RDM|D,28639.000000,47,609.340426
SY|IAH|L,1868.000000,1,1868.000000
5X|MHR|D,100279.000000,142,706.190141
SY|JAX|L,1171.000000,1,1171.000000
SY|STT|D,2789.000000,6,464.833333
5X|AUS|D,26953.000000,37,728.459459
5X|OAK|D,165174.000000,152,1086.671053
5X|PDX|D,206892.000000,193,1071.979275
WN|ITO|D,3672.000000,17,216.000000
WN|LIH|D,86050.000000,64,1344.531250
AA|CUR|L,52602.000000,38,1384.263158
AA|PTP|L,19250.000000,14,1375.000000
AA|STT|L,1850.000000,2,925.000000
5X|RFD|D,508155.000000,606,838.539604
UA|CUR|L,31808.000000,16,1988.000000
5X|ONT|D,999247.000000,709,1409.375176
5X|SDF|D,2607676.000000,2797,932.311763
B6|PVR|L,33870.000000,18,1881.666667
B6|HDN|D,9271.000000,5,1854.200000
AA|BIL|D,790.000000,2,395.000000
AA|BFI|D,6.000000,1,6.000000
AA|LRD|D,396.000000,1,396.000000
AA|SNU|L,5761.000000,25,230.440000
AA|PBI|L,199.000000,1,199.000000
AA|ACY|D,276.000000,3,92.000000
AA|MLI|D,139.000000,1,139.000000
AA|PAP|L,12841.000000,18,713.388889
AA|HOG|L,10248.000000,24,427.000000
AA|LGA|L,17649.000000,9,1961.000000
AA|ELP|L,2379.000000,2,1189.500000
AA|SBN|D,1234.000000,2,617.000000
UA|BJX|L,20384.000000,28,728.000000
5X|CAE|D,79778.000000,182,438.340659
AA|PNS|L,1437.000000,1,1437.000000
AA|GYE|L,42284.000000,22,1922.000000
AA|CTG|L,27717.000000,25,1108.680000
AA|TQO|L,45498.000000,51,892.117647
AA|HDN|D,6696.000000,9,744.000000
AA|FAT|D,89024.000000,102,872.784314
AA|MLB|D,526.000000,4,131.500000
AA|RFD|D,126.000000,2,63.000000
AA|SJU|L,2695.000000,7,385.000000
