CARRIER,ORIGIN,Sum,Count,Mean
04Q,DE2,373.000000,2,186.500000
04Q,DE3,650.000000,4,162.500000
04Q,DHN,231.000000,1,231.000000
04Q,DKK,934.000000,3,311.333333
04Q,DNL,901.000000,2,450.500000
04Q,DOM,1048.000000,3,349.333333
04Q,DOV,318.000000,1,318.000000
04Q,DQN,221.000000,1,221.000000
04Q,DRO,1729.000000,1,1729.000000
04Q,DSI,335.000000,1,335.000000
04Q,DXR,1830.000000,12,152.500000
04Q,DYL,670.000000,3,223.333333
04Q,ECP,1055.000000,2,527.500000
04Q,EEN,726.000000,4,181.500000
04Q,EFK,360.000000,2,180.000000
04Q,EIS,1501.000000,18,83.388889
04Q,ELH,11984.000000,41,292.292683
04Q,ELM,715.000000,4,178.750000
04Q,ENW,714.000000,1,714.000000
04Q,ERI,2670.000000,10,267.000000
04Q,ESN,1398.000000,6,233.000000
04Q,EWB,999.000000,5,199.800000
04Q,EWR,5214.000000,29,179.793103
04Q,EYW,6663.000000,37,180.081081
04Q,FAR,1215.000000,1,1215.000000
04Q,FCM,1032.000000,1,1032.000000
04Q,FDK,447.000000,2,223.500000
04Q,FID,2483.000000,22,112.863636
04Q,FL4,809.000000,1,809.000000
04Q,FL7,1079.000000,2,539.500000
04Q,FLL,4460.000000,22,202.727273
04Q,FME,647.000000,2,323.500000
04Q,FMY,824.000000,5,164.800000
04Q,FOK,9751.000000,64,152.359375
04Q,FPO,946.000000,7,135.142857
04Q,FPR,1418.000000,8,177.250000
04Q,FPY,158.000000,1,158.000000
04Q,FRG,6597.000000,35,188.485714
04Q,FRY,422.000000,2,211.000000
04Q,FXE,8001.000000,28,285.750000
04Q,GAI,2741.000000,9,304.555556
04Q,GBR,932.000000,7,133.142857
04Q,GED,979.000000,5,195.800000
04Q,GFL,2355.000000,13,181.153846
04Q,GGT,636.000000,2,318.000000
04Q,GHB,1199.000000,4,299.750000
04Q,GHC,839.000000,4,209.750000
04Q,GND,524.000000,1,524.000000
04Q,GNV,1214.000000,4,303.500000
04Q,GON,2375.000000,18,131.944444
04Q,GSO,1797.000000,3,599.000000
04Q,GTY,237.000000,1,237.000000
04Q,GVQ,267.000000,1,267.000000
04Q,HAO,98.000000,1,98.000000
04Q,HAR,577.000000,2,288.500000
04Q,HFD,744.000000,6,124.000000
04Q,HGR,386.000000,2,193.000000
04Q,HHH,383.000000,1,383.000000
04Q,HIE,275.000000,1,275.000000
04Q,HPN,92402.000000,323,286.074303
04Q,HTO,26222.000000,153,171.385621
04Q,HVN,2748.000000,19,144.631579
04Q,HYA,9253.000000,45,205.622222
04Q,HZL,438.000000,2,219.000000
04Q,IAD,16694.000000,54,309.148148
04Q,IAG,296.000000,1,296.000000
04Q,ILG,2486.000000,12,207.166667
04Q,IND,1442.000000,2,721.000000
04Q,INT,1262.000000,3,420.666667
04Q,ISM,405.000000,3,135.000000
04Q,ISP,1753.000000,10,175.300000
04Q,ITH,4278.000000,20,213.900000
04Q,JAN,778.000000,2,389.000000
04Q,JAX,2736.000000,7,390.857143
04Q,JBQ,524.000000,2,262.000000
04Q,JFK,5806.000000,33,175.939394
04Q,JGG,365.000000,1,365.000000
04Q,JHW,2291.000000,7,327.285714
