CARRIER|ORIGIN,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|OCE,21.000000,7,3.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|OCF,62.000000,16,3.875000,136.000000,16,8.500000,17.000000,16,1.062500
04Q|OGS,11.000000,3,3.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ONH,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|OPF,241.000000,57,4.228070,488.000000,57,8.561404,61.000000,57,1.070175
04Q|ORF,27.000000,8,3.375000,64.000000,8,8.000000,8.000000,8,1.000000
04Q|ORH,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ORL,32.000000,9,3.555556,72.000000,9,8.000000,9.000000,9,1.000000
04Q|OWD,105.000000,30,3.500000,272.000000,30,9.066667,34.000000,30,1.133333
04Q|OWK,10.000000,1,10.000000,16.000000,1,16.000000,2.000000,1,2.000000
04Q|OXC,99.000000,25,3.960000,216.000000,25,8.640000,27.000000,25,1.080000
04Q|OXD,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PA3,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|PA5,54.000000,16,3.375000,144.000000,16,9.000000,18.000000,16,1.125000
04Q|PBG,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PBI,328.000000,86,3.813953,768.000000,86,8.930233,96.000000,86,1.116279
04Q|PCT,51.000000,16,3.187500,128.000000,16,8.000000,16.000000,16,1.000000
04Q|PDK,12.000000,4,3.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|PGD,10.000000,3,3.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|PHF,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|PHL,106.000000,36,2.944444,312.000000,36,8.666667,39.000000,36,1.083333
04Q|PIE,52.000000,16,3.250000,128.000000,16,8.000000,16.000000,16,1.000000
04Q|PIT,24.000000,7,3.428571,64.000000,7,9.142857,8.000000,7,1.142857
04Q|PLS,12.000000,4,3.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|PNE,87.000000,23,3.782609,208.000000,23,9.043478,26.000000,23,1.130435
04Q|PNN,4.000000,2,2.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|POU,12.000000,5,2.400000,40.000000,5,8.000000,5.000000,5,1.000000
04Q|PPM,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PR1,34.000000,6,5.666667,48.000000,6,8.000000,6.000000,6,1.000000
04Q|PSE,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PSF,36.000000,16,2.250000,128.000000,16,8.000000,16.000000,16,1.000000
04Q|PSM,47.000000,15,3.133333,136.000000,15,9.066667,17.000000,15,1.133333
04Q|PTK,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PTP,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|PTW,2.000000,2,1.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|PUJ,24.000000,4,6.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|PVC,62.000000,14,4.428571,152.000000,14,10.857143,19.000000,14,1.357143
04Q|PVD,138.000000,39,3.538462,360.000000,39,9.230769,45.000000,39,1.153846
04Q|PVU,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PWK,9.000000,2,4.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|PWM,118.000000,24,4.916667,232.000000,24,9.666667,29.000000,24,1.208333
04Q|PYM,21.000000,7,3.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|QMN,9.000000,2,4.500000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|RDG,7.000000,4,1.750000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|RDU,39.000000,12,3.250000,104.000000,12,8.666667,13.000000,12,1.083333
04Q|RIC,19.000000,8,2.375000,64.000000,8,8.000000,8.000000,8,1.000000
04Q|RKD,84.000000,27,3.111111,280.000000,27,10.370370,35.000000,27,1.296296
04Q|RME,12.000000,3,4.000000,24.000000,3,8.000000,3.000000,3,1.000000
