CARRIER|ORIGIN|REGION,PASSENGERS_Sum,PASSENGERS_Count,PASSENGERS_Mean,SEATS_Sum,SEATS_Count,SEATS_Mean,DEPARTURES_PERFORMED_Sum,DEPARTURES_PERFORMED_Count,DEPARTURES_PERFORMED_Mean
04Q|NJ2|D,9.000000,4,2.250000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|NJ4|D,3.000000,1,3.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NJ7|D,2.000000,1,2.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NMC|D,44.000000,6,7.333333,56.000000,6,9.333333,7.000000,6,1.166667
04Q|NPT|D,197.000000,34,5.794118,392.000000,34,11.529412,49.000000,34,1.441176
04Q|NY1|D,21.000000,7,3.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|NY4|D,7.000000,1,7.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|NY5|D,20.000000,6,3.333333,48.000000,6,8.000000,6.000000,6,1.000000
04Q|NY7|D,36.000000,13,2.769231,128.000000,13,9.846154,16.000000,13,1.230769
04Q|NY9|D,1.000000,1,1.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|OCE|D,21.000000,7,3.000000,56.000000,7,8.000000,7.000000,7,1.000000
04Q|OCF|D,62.000000,16,3.875000,136.000000,16,8.500000,17.000000,16,1.062500
04Q|OGS|D,11.000000,3,3.666667,24.000000,3,8.000000,3.000000,3,1.000000
04Q|ONH|D,10.000000,2,5.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|OPF|D,383.000000,66,5.803030,712.000000,66,10.787879,89.000000,66,1.348485
04Q|ORF|D,27.000000,8,3.375000,64.000000,8,8.000000,8.000000,8,1.000000
04Q|ORH|D,4.000000,1,4.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|ORL|D,32.000000,9,3.555556,72.000000,9,8.000000,9.000000,9,1.000000
04Q|OWD|D,105.000000,30,3.500000,272.000000,30,9.066667,34.000000,30,1.133333
04Q|OWK|D,10.000000,1,10.000000,16.000000,1,16.000000,2.000000,1,2.000000
04Q|OXC|D,99.000000,25,3.960000,216.000000,25,8.640000,27.000000,25,1.080000
04Q|OXD|D,8.000000,1,8.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PA3|D,6.000000,2,3.000000,16.000000,2,8.000000,2.000000,2,1.000000
04Q|PA5|D,54.000000,16,3.375000,144.000000,16,9.000000,18.000000,16,1.125000
04Q|PBG|D,6.000000,1,6.000000,8.000000,1,8.000000,1.000000,1,1.000000
04Q|PBI|D,819.000000,106,7.726415,1608.000000,106,15.169811,201.000000,106,1.896226
04Q|PCT|D,64.000000,17,3.764706,152.000000,17,8.941176,19.000000,17,1.117647
04Q|PDK|D,12.000000,4,3.000000,32.000000,4,8.000000,4.000000,4,1.000000
04Q|PGD|D,10.000000,3,3.333333,24.000000,3,8.000000,3.000000,3,1.000000
04Q|PHF|D,3.000000,2,1.500000,16.000000,2,8.000000,2.000000,2,1.000000
